day_partition,region,country,locations,overall_daily_active,overall_daily_access,overall_weekly_active,overall_weekly_access,overall_monthly_active,overall_monthly_access,core_daily_active,core_daily_access,core_weekly_active,core_weekly_access,core_monthly_active,core_monthly_access,premium_daily_active,premium_daily_access,premium_weekly_active,premium_weekly_access,premium_monthly_active,premium_monthly_access,promos_daily_active,promos_daily_access,promos_weekly_active,promos_weekly_access,promos_monthly_active,promos_monthly_access,custom_websites_daily_active,custom_websites_daily_access,custom_websites_weekly_active,custom_websites_weekly_access,custom_websites_monthly_active,custom_websites_monthly_access,custom_websites_premium_daily_active,custom_websites_premium_daily_access,custom_websites_premium_weekly_active,custom_websites_premium_weekly_access,custom_websites_premium_monthly_active,custom_websites_premium_monthly_access,basic_insights_daily_active,basic_insights_daily_access,basic_insights_weekly_active,basic_insights_weekly_access,basic_insights_monthly_active,basic_insights_monthly_access,adv_insights_daily_active,adv_insights_daily_access,adv_insights_weekly_active,adv_insights_weekly_access,adv_insights_monthly_active,adv_insights_monthly_access,super_insights_daily_active,super_insights_daily_access,super_insights_weekly_active,super_insights_weekly_access,super_insights_monthly_active,super_insights_monthly_access
2022-01-01,Region 1,Country 1,3918,1489,3197,1489,3197,1489,3197,1435,2366,1435,2366,1435,2366,29,40,29,40,29,40,0,0,0,0,0,0,0,0,0,0,0,0,68,68,68,68,68,68,120,1123,120,1123,120,1123,0,0,0,0,0,0,313,460,313,460,313,460
2022-01-03,Region 1,Country 1,3918,1571,3195,1759,3200,1759,3200,1523,2389,1677,2419,1677,2419,28,39,39,49,39,49,0,0,1,1,1,1,0,0,0,0,0,0,44,44,80,80,80,80,198,1152,301,1216,301,1216,0,0,0,0,0,0,367,512,629,763,629,763
2022-01-04,Region 1,Country 1,3918,1709,3195,1876,3200,1876,3200,1598,2407,1752,2439,1752,2439,31,42,41,51,41,51,1,1,2,2,2,2,0,0,0,0,0,0,60,60,90,90,90,90,439,1252,561,1324,561,1324,0,0,0,0,0,0,471,607,780,905,780,905
2022-01-05,Region 1,Country 1,3948,1720,3213,1922,3219,1922,3219,1641,2427,1789,2456,1789,2456,35,46,42,52,42,52,1,1,2,2,2,2,0,0,0,0,0,0,66,66,101,101,101,101,311,1213,599,1340,599,1340,0,0,0,0,0,0,475,619,856,982,856,982
2022-01-06,Region 1,Country 1,3948,1776,3215,1968,3221,1968,3221,1688,2434,1825,2464,1825,2464,37,45,45,53,45,53,2,2,2,2,2,2,0,0,0,0,0,0,72,72,107,107,107,107,316,1202,618,1352,618,1352,0,0,0,0,0,0,358,494,884,1001,884,1001
2022-01-07,Region 1,Country 1,3948,1725,3215,1978,3221,1978,3221,1679,2431,1838,2467,1838,2467,39,46,47,54,47,54,2,2,2,2,2,2,0,0,0,0,0,0,71,71,108,108,108,108,121,1123,625,1355,625,1355,0,0,0,0,0,0,356,502,922,1038,922,1038
2022-01-08,Region 1,Country 1,3948,1689,3215,1981,3221,1981,3221,1627,2421,1842,2468,1842,2468,37,46,47,54,47,54,1,1,2,2,2,2,0,0,0,0,0,0,70,70,113,113,113,113,183,1153,627,1356,627,1356,0,0,0,0,0,0,350,491,935,1050,935,1050
2022-01-09,Region 1,Country 1,3948,1715,3215,2011,3221,2026,3221,1660,2423,1866,2473,1878,2476,31,42,44,51,47,54,1,1,2,2,2,2,0,0,0,0,0,0,69,69,110,110,115,115,215,1166,661,1368,670,1377,0,0,0,0,0,0,355,504,957,1072,985,1100
2022-01-10,Region 1,Country 1,3953,1713,3228,2018,3231,2060,3235,1638,2433,1871,2483,1899,2492,26,36,44,51,48,55,0,0,2,2,2,2,0,0,0,0,0,0,57,57,111,111,118,118,328,1215,648,1359,730,1411,0,0,0,0,0,0,400,546,934,1054,1038,1153
2022-01-11,Region 1,Country 1,3953,1785,3228,2034,3231,2080,3235,1724,2450,1884,2490,1916,2499,29,39,45,52,48,55,0,0,2,2,2,2,0,0,0,0,0,0,71,71,115,115,123,123,281,1202,670,1375,753,1429,0,0,0,0,0,0,403,544,948,1068,1058,1174
2022-01-12,Region 1,Country 1,3953,1845,3228,2036,3230,2096,3235,1765,2458,1903,2494,1934,2503,33,42,45,52,48,55,0,0,2,2,2,2,0,0,0,0,0,0,81,81,116,116,126,126,274,1198,636,1373,764,1439,0,0,0,0,0,0,418,561,921,1042,1069,1184
2022-01-13,Region 1,Country 1,3955,1858,3228,2047,3232,2111,3237,1784,2458,1920,2498,1949,2506,34,44,48,55,51,58,1,1,2,2,2,2,0,0,0,0,0,0,79,79,114,114,127,127,309,1212,605,1345,771,1442,0,0,0,0,0,0,364,512,813,939,1089,1204
2022-01-14,Region 1,Country 1,3955,1805,3224,2039,3232,2118,3237,1768,2453,1919,2496,1955,2508,37,46,46,53,51,58,2,2,3,3,3,3,0,0,0,0,0,0,83,83,113,113,129,129,155,1133,597,1339,773,1444,0,0,0,0,0,0,368,513,807,932,1099,1213
2022-01-15,Region 1,Country 1,3955,1783,3224,2032,3232,2121,3237,1743,2451,1913,2496,1958,2508,35,44,44,53,51,58,1,1,2,2,3,3,0,0,0,0,0,0,82,82,115,115,130,130,111,1120,591,1337,773,1444,0,0,0,0,0,0,369,515,801,925,1107,1221
2022-01-16,Region 1,Country 1,3955,1830,3224,2058,3232,2142,3237,1743,2453,1917,2496,1962,2509,32,41,45,54,51,58,1,1,2,2,3,3,0,0,0,0,0,0,80,80,118,118,130,130,378,1248,636,1377,796,1465,0,0,0,0,0,0,414,557,820,945,1131,1244
2022-01-17,Region 1,Country 1,3980,1768,3233,2065,3249,2158,3256,1677,2443,1927,2510,1979,2525,27,37,43,52,51,58,1,1,2,2,3,3,0,0,0,0,0,0,44,44,116,116,131,131,292,1206,640,1390,809,1480,0,0,0,0,0,0,393,532,838,963,1158,1272
2022-01-18,Region 1,Country 1,3980,1840,3227,2074,3249,2166,3256,1782,2451,1938,2510,1990,2527,30,40,43,52,51,58,0,0,2,2,3,3,0,0,0,0,0,0,69,69,115,115,132,132,290,1218,662,1413,836,1506,0,0,0,0,0,0,396,539,845,969,1172,1285
2022-01-19,Region 1,Country 1,3980,1864,3227,2076,3249,2177,3256,1801,2462,1944,2510,2000,2528,34,44,42,51,51,58,1,1,2,2,3,3,0,0,0,0,0,0,74,74,114,114,133,133,308,1200,665,1417,854,1519,0,0,0,0,0,0,452,590,917,1036,1186,1299
2022-01-20,Region 1,Country 1,3980,1900,3226,2071,3247,2183,3256,1832,2463,1943,2507,2006,2530,36,46,42,51,52,59,1,1,2,2,3,3,0,0,0,0,0,0,81,81,117,117,136,136,350,1220,653,1409,858,1522,0,0,0,0,0,0,462,605,943,1062,1196,1309
2022-01-21,Region 1,Country 1,3980,1850,3226,2064,3243,2184,3256,1816,2460,1937,2501,2008,2530,35,44,42,50,53,59,2,2,2,2,3,3,0,0,0,0,0,0,93,93,115,115,137,137,109,1112,643,1399,860,1522,0,0,0,0,0,0,363,509,940,1057,1199,1312
2022-01-22,Region 1,Country 1,3980,1811,3226,2063,3243,2186,3256,1767,2453,1938,2503,2010,2531,33,43,41,49,53,59,0,0,2,2,3,3,0,0,0,0,0,0,85,85,113,113,137,137,114,1115,636,1398,860,1522,0,0,0,0,0,0,359,503,940,1057,1201,1314
2022-01-23,Region 1,Country 1,3980,1847,3226,2078,3243,2199,3256,1782,2453,1945,2507,2016,2534,31,42,42,50,53,59,0,0,2,2,3,3,0,0,0,0,0,0,79,79,113,113,138,138,288,1188,656,1409,873,1535,0,0,0,0,0,0,395,540,940,1055,1213,1324
2022-01-24,Region 1,Country 1,4020,1748,3245,2089,3272,2211,3295,1713,2460,1953,2518,2027,2556,27,37,40,49,53,59,0,0,2,2,3,3,0,0,0,0,0,0,57,57,116,116,140,140,192,1163,659,1423,890,1561,0,0,0,0,0,0,355,502,929,1046,1220,1332
2022-01-25,Region 1,Country 1,4020,1792,3243,2055,3266,2214,3295,1747,2459,1948,2510,2029,2556,26,36,39,48,53,59,0,0,2,2,3,3,0,0,0,0,0,0,71,71,115,115,141,141,163,1132,574,1367,892,1562,0,0,0,0,0,0,341,487,906,1027,1227,1337
2022-01-26,Region 1,Country 1,4020,1875,3243,2061,3266,2230,3295,1812,2467,1949,2511,2037,2558,28,38,40,49,53,59,1,1,2,2,3,3,0,0,0,0,0,0,64,64,118,118,143,143,296,1210,560,1347,917,1581,0,0,0,0,0,0,529,669,911,1033,1235,1345
2022-01-27,Region 1,Country 1,4020,1892,3239,2062,3265,2231,3295,1839,2474,1949,2511,2039,2559,32,41,39,48,53,59,2,2,3,3,4,4,0,0,0,0,0,0,78,78,117,117,143,143,275,1184,552,1340,919,1582,0,0,0,0,0,0,392,537,910,1032,1239,1349
2022-01-28,Region 1,Country 1,4022,1866,3239,2046,3266,2234,3296,1826,2472,1949,2512,2043,2560,31,41,38,47,53,59,2,2,3,3,4,4,0,0,0,0,0,0,87,87,119,119,146,146,117,1125,486,1303,920,1583,0,0,0,0,0,0,371,521,892,1015,1244,1354
2022-01-29,Region 1,Country 1,4022,1833,3240,2049,3267,2235,3297,1787,2465,1951,2512,2044,2561,32,42,38,47,53,59,3,3,3,3,4,4,0,0,0,0,0,0,87,87,117,117,147,147,110,1116,481,1301,920,1584,0,0,0,0,0,0,386,533,900,1024,1248,1359
2022-01-30,Region 1,Country 1,4021,1832,3240,2055,3267,2239,3297,1776,2457,1956,2512,2048,2561,31,40,37,46,53,59,2,2,3,3,4,4,0,0,0,0,0,0,78,78,117,117,147,147,263,1171,502,1315,929,1589,0,0,0,0,0,0,446,592,907,1032,1250,1361
2022-01-31,Region 1,Country 1,4037,1774,3259,2052,3271,2252,3321,1712,2459,1963,2522,2060,2576,27,37,38,47,53,59,3,3,3,3,4,4,0,0,0,0,0,0,51,51,117,117,150,150,292,1213,498,1315,939,1603,0,0,0,0,0,0,383,532,916,1041,1262,1372
